date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:15:46	50486/50486	---M--	200	added ('OK')	image/jpeg	etag:80bc54d20f99b0250901cd66e9ae86268909b8fd	https://d33wubrfki0l68.cloudfront.net/f80724722805a15504b760b654445e9dc72cebc3/7f422/assets/images/gallery/thumbs/christian-lambert-ycyxpdhcnp8-unsplash507.jpg	/storage/emulated/0/HTTrack/Websites/emprise/d33wubrfki0l68.cloudfront.net/f80724722805a15504b760b654445e9dc72cebc3/7f422/assets/images/gallery/thumbs/christian-lambert-ycyxpdhcnp8-unsplash507.jpg	(from https://ux.emprise.tours/gallery-page)
13:15:48	79749/79749	---M--	200	added ('OK')	image/jpeg	etag:361737be50677016bad897a8c602a8c224dd3e67	https://d33wubrfki0l68.cloudfront.net/267558f7419822e8bf88a693c4d899c5f80e9eb4/0fde0/assets/images/gallery/thumbs/cory-bjork-752uo3zewig-unsplash507.jpg	/storage/emulated/0/HTTrack/Websites/emprise/d33wubrfki0l68.cloudfront.net/267558f7419822e8bf88a693c4d899c5f80e9eb4/0fde0/assets/images/gallery/thumbs/cory-bjork-752uo3zewig-unsplash507.jpg	(from https://ux.emprise.tours/gallery-page)
13:15:50	644165/644165	---M--	200	added ('OK')	image/jpeg	etag:%225b9f0261f650f53559fc882ca5a4df37-ssl%22	https://ux.emprise.tours/assets/images/gallery/1568/cory-bjork-752uo3zewig-unsplash1568.jpg	/storage/emulated/0/HTTrack/Websites/emprise/ux.emprise.tours/assets/images/gallery/1568/cory-bjork-752uo3zewig-unsplash1568.jpg	(from https://ux.emprise.tours/gallery-page)
13:15:50	25923/25923	---M--	200	added ('OK')	image/jpeg	etag:649f5f66b1d110a85035d00ae778b7e076196180	https://d33wubrfki0l68.cloudfront.net/77bf7eb9797f9c8f5b671206775f55f05ef9f715/203b1/assets/images/gallery/thumbs/david-vives-elf8m-ywrty-unsplash507.jpg	/storage/emulated/0/HTTrack/Websites/emprise/d33wubrfki0l68.cloudfront.net/77bf7eb9797f9c8f5b671206775f55f05ef9f715/203b1/assets/images/gallery/thumbs/david-vives-elf8m-ywrty-unsplash507.jpg	(from https://ux.emprise.tours/gallery-page)
13:15:52	189537/189537	---M--	200	added ('OK')	image/jpeg	etag:%223c5187d2dffff7053caceb42d74ae5a0-ssl%22	https://ux.emprise.tours/assets/images/gallery/1568/david-vives-elf8m-ywrty-unsplash1568.jpg	/storage/emulated/0/HTTrack/Websites/emprise/ux.emprise.tours/assets/images/gallery/1568/david-vives-elf8m-ywrty-unsplash1568.jpg	(from https://ux.emprise.tours/gallery-page)
13:15:53	25937/25937	---M--	200	added ('OK')	image/jpeg	etag:bdfd6378b7eb90928a2df0f4d10b4828af4c4197	https://d33wubrfki0l68.cloudfront.net/436ace92488cfd8aa7ce9da8811a64512b872328/0bb02/assets/images/gallery/thumbs/gerson-repreza-nx3sdckkfww-unsplash507.jpg	/storage/emulated/0/HTTrack/Websites/emprise/d33wubrfki0l68.cloudfront.net/436ace92488cfd8aa7ce9da8811a64512b872328/0bb02/assets/images/gallery/thumbs/gerson-repreza-nx3sdckkfww-unsplash507.jpg	(from https://ux.emprise.tours/gallery-page)
13:15:53	321257/321257	---M--	200	added ('OK')	image/jpeg	etag:%22db859f6f7268002fd7496233f0d0cce1-ssl%22	https://ux.emprise.tours/assets/images/gallery/1568/gerson-repreza-nx3sdckkfww-unsplash1568.jpg	/storage/emulated/0/HTTrack/Websites/emprise/ux.emprise.tours/assets/images/gallery/1568/gerson-repreza-nx3sdckkfww-unsplash1568.jpg	(from https://ux.emprise.tours/gallery-page)
13:15:54	140776/140776	---M--	200	added ('OK')	image/jpeg	etag:%224a5ac740ea452be4eb6eb0691af60498-ssl%22	https://ux.emprise.tours/assets/images/gallery/1568/gerson-repreza-pw3tjkrksy8-unsplash1568.jpg	/storage/emulated/0/HTTrack/Websites/emprise/ux.emprise.tours/assets/images/gallery/1568/gerson-repreza-pw3tjkrksy8-unsplash1568.jpg	(from https://ux.emprise.tours/gallery-page)
13:15:54	5863318/5863318	---M--	200	added ('OK')	video/mp4	etag:%2201a9d411f0de6e4cd4830cb8952703f7-ssl%22	https://ux.emprise.tours/assets/images/gallery/videos/spiderboat.mp4	/storage/emulated/0/HTTrack/Websites/emprise/ux.emprise.tours/assets/images/gallery/videos/spiderboat.mp4	(from https://ux.emprise.tours/product-detail-page)
13:15:55	17396/17396	---M--	200	added ('OK')	image/jpeg	etag:da9cbd64f003d4713aa2272b26bbee1b7d2b39a3	https://d33wubrfki0l68.cloudfront.net/dcb3aa8a536033499fbf02ed55272ff4f8d692c1/b7449/assets/images/gallery/thumbs/gerson-repreza-pw3tjkrksy8-unsplash507.jpg	/storage/emulated/0/HTTrack/Websites/emprise/d33wubrfki0l68.cloudfront.net/dcb3aa8a536033499fbf02ed55272ff4f8d692c1/b7449/assets/images/gallery/thumbs/gerson-repreza-pw3tjkrksy8-unsplash507.jpg	(from https://ux.emprise.tours/gallery-page)
